Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.getSize",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.put",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.remove",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.removeNext",1,2,2,2
Public Constructor,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.LargestLimitedMemoryCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.clear",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.createReference",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.getSize",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.put",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.remove",1,2,2,2
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache.removeNext",1,4,4,4
Public Constructor,"com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache.LimitedAgeMemoryCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache.clear",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache.get",1,2,2,3
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache.keys",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache.put",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache.remove",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.UsingFreqLimitedMemoryCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.clear",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.createReference",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.get",1,3,3,3
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.getSize",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.put",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.remove",1,2,2,2
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache.removeNext",1,4,4,4
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.WeakMemoryCache.createReference",1,1,1,1
Public Static Method,"com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createBitmapDisplayer",1,1,1,1
Public Static Method,"com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createDiscCache",3,3,3,3
Public Static Method,"com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createFileNameGenerator",1,1,1,1
Public Static Method,"com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createImageDownloader",1,1,1,1
Public Static Method,"com.nostra13.universalimageloader.core.DefaultConfigurationFactory.createMemoryCache",1,2,2,2
Public Constructor,"com.nostra13.universalimageloader.core.DisplayBitmapTask.DisplayBitmapTask",1,1,1,1
Private Method,"com.nostra13.universalimageloader.core.DisplayBitmapTask.isViewWasReused",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayBitmapTask.run",1,4,4,4
Method,"com.nostra13.universalimageloader.core.DisplayBitmapTask.setLoggingEnabled",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.bitmapConfig",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.build",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.cacheInMemory",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.cacheOnDisc",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.cloneFrom",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.delayBeforeLoading",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.displayer",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.imageScaleType",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.resetViewBeforeLoading",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.showImageForEmptyUri",1,1,1,1
Public Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.Builder.showStubImage",1,1,1,1
Private Constructor,"com.nostra13.universalimageloader.core.DisplayImageOptions.DisplayImageOptions",1,1,1,1
Public Static Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.createSimple",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.getBitmapConfig",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.getDelayBeforeLoading",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.getDisplayer",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.getImageForEmptyUri",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.getImageScaleType",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.getStubImage",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.isCacheInMemory",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.isCacheOnDisc",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.isDelayBeforeLoading",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.isResetViewBeforeLoading",1,1,1,1
Method,"com.nostra13.universalimageloader.core.DisplayImageOptions.isShowImageForEmptyUri",1,1,1,1
