Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\JUnit\src\main\java\org\junit\rules\TestWatcher.java",7,1,2,,,,6,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\TestWatchman.java",7,1,2,,,,6,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\Timeout.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\Verifier.java",3,1,1,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\Computer.java",4,1,1,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\Describable.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\Description.java",33,1,3,,,,23,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\runner\JUnitCore.java",19,1,4,,,,15,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\Request.java",13,1,2,,,,12,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\Result.java",13,1,1,,,,13,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\RunWith.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\Runner.java",3,1,1,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\manipulation\Filter.java",18,1,4,,,,13,,,,4
File,"C:\f1\JUnit\src\main\java\org\junit\runner\manipulation\Filterable.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\manipulation\NoTestsRemainException.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\runner\manipulation\Sortable.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\manipulation\Sorter.java",5,1,2,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\manipulation\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\runner\notification\Failure.java",7,1,1,,,,7,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\notification\RunListener.java",7,1,1,,,,7,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\notification\RunNotifier.java",23,1,3,,,,20,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runner\notification\StoppedByUserException.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\runner\notification\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\runner\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\runners\AllTests.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java",45,1,3,,,,31,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\JUnit4.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\Parameterized.java",15,1,3,,,,11,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\runners\ParentRunner.java",50,2,5,,,,32,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\Suite.java",13,1,2,,,,11,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\FrameworkField.java",9,1,1,,,,9,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\FrameworkMember.java",5,2,3,,,,3,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\FrameworkMethod.java",25,2,6,,,,14,,,,5
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\InitializationError.java",4,1,1,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\MultipleFailureException.java",7,2,3,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\RunnerBuilder.java",11,2,3,,,,7,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\runners\model\RunnerScheduler.java",2,1,1,,,,2,,,,1
