Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ProxyManager.java",42,2,6,,,,18,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ResponseHandler.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ResponseStream.java",2,1,1,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\impl\ClientCallFuture.java",54,2,7,,,,22,,,,6
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\impl\ClientClusterServiceImpl.java",90,3,9,,,,33,,,,8
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\impl\ClientExecutionServiceImpl.java",17,1,2,,,,16,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\impl\ClientInvocationServiceImpl.java",27,1,2,,,,21,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\impl\ClientPartitionServiceImpl.java",30,2,4,,,,17,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\impl\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\ClientTransactionManager.java",23,2,5,,,,13,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\TransactionContextProxy.java",33,2,9,,,,19,,,,5
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\TransactionProxy.java",29,2,4,,,,14,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\XAResourceProxy.java",43,3,6,,,,16,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\AbstractClientTxnCollectionProxy.java",5,1,2,,,,4,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\ClientTxnListProxy.java",5,1,1,,,,5,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\ClientTxnMapProxy.java",28,1,3,,,,22,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\ClientTxnMultiMapProxy.java",14,1,3,,,,10,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\ClientTxnProxy.java",10,1,3,,,,8,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\ClientTxnQueueProxy.java",14,1,2,,,,11,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\ClientTxnSetProxy.java",5,1,1,,,,5,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\txn\proxy\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\util\AbstractLoadBalancer.java",7,1,2,,,,6,,,,1
