Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitSlopeLine.java",5,1,1,,,,5,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitSlopeLineDisplay.java",5,1,1,,,,5,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXY.java",1,1,1,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYAxis.java",12,1,2,,,,11,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYGrid.java",12,1,2,,,,11,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYLocationDisplay.java",3,2,2,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYMarkerLine.java",26,1,2,,,,25,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYPlot.java",4,2,3,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYPlotLine.java",13,1,1,,,,13,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitXYReversingDataset.java",9,1,2,,,,7,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\CanvasActivator.java",2,1,1,,,,2,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\ComponentRegistryAccess.java",3,1,1,,,,3,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\MenuManagerAccess.java",3,1,1,,,,3,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\PolicyManagerAccess.java",3,1,1,,,,3,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\formatting\ControlAreaFormattingConstants.java",14,3,6,,,,9,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\layout\CanvasLayoutManager.java",52,3,13,,,,22,,,,4
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\panel\CanvasViewStrategy.java",12,2,4,,,,7,,,,3
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\panel\FlatScrollBarUI.java",11,2,5,,,,7,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\panel\Panel.java",105,2,7,,,,67,,,,4
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\panel\PanelBorder.java",49,2,7,,,,24,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\panel\TransferableIcon.java",15,1,3,,,,11,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\persistence\CanvasPersistentState.java",4,1,1,,,,4,,,,1
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\persistence\MCTViewManifestationInfo.java",43,1,4,,,,33,,,,4
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\policy\CanvasFilterViewPolicy.java",3,3,3,,,,1,,,,3
File,"C:\f1\mct-1.7b1\canvas\src\main\java\gov\nasa\arc\mct\canvas\policy\EmbeddedCanvasViewsAreNotWriteable.java",1,1,1,,,,1,,,,1
