Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue162Test.java",13,1,4,,,,9,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue164Test.java",16,2,3,,,,10,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue170Test.java",2,2,2,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue183Test.java",3,1,1,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue198Test.java",2,2,2,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue37Test.java",6,6,6,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue41Test.java",39,2,10,,,,17,,,,10
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue69Test.java",8,3,6,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue77Test.java",9,2,2,,,,6,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue78Test.java",3,1,1,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue86Test.java",11,2,3,,,,7,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue89Test.java",9,1,2,,,,8,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue90Test.java",2,2,2,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\IssuesTest.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\JSR166TestCase.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\LoggerVolume.java",23,1,1,,,,23,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\LongConcurrentHashMapTest.java",26,1,2,,,,21,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\LongHashMapTest.java",12,2,3,,,,7,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\MapInterfaceTest.java",256,4,10,,,,68,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\MapListenerTest.java",4,1,1,,,,4,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\PumpTest.java",32,3,6,,,,10,,,,5
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\QueuesTest.java",3,1,1,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Serialization2Bean.java",33,17,25,,,,2,,,,25
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Serialization2Test.java",4,1,1,,,,4,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Serialized2DerivedBean.java",29,15,22,,,,2,,,,22
