Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Static Method,"jsr166e.CompletableFuture.runAsync",1,2,2,3
Public Static Generic Method,"jsr166e.CompletableFuture.supplyAsync",1,2,2,2
Public Static Generic Method,"jsr166e.CompletableFuture.supplyAsync",1,2,2,3
Public Method,"jsr166e.CompletableFuture.thenAccept",1,1,1,1
Public Method,"jsr166e.CompletableFuture.thenAcceptAsync",1,1,1,1
Public Method,"jsr166e.CompletableFuture.thenAcceptAsync",1,2,2,2
Public Generic Method,"jsr166e.CompletableFuture.thenAcceptBoth",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenAcceptBothAsync",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenAcceptBothAsync",1,2,2,2
Public Generic Method,"jsr166e.CompletableFuture.thenApply",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenApplyAsync",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenApplyAsync",1,2,2,2
Public Generic Method,"jsr166e.CompletableFuture.thenCombine",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenCombineAsync",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenCombineAsync",1,2,2,2
Public Generic Method,"jsr166e.CompletableFuture.thenCompose",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenComposeAsync",1,1,1,1
Public Generic Method,"jsr166e.CompletableFuture.thenComposeAsync",1,2,2,2
Public Method,"jsr166e.CompletableFuture.thenRun",1,1,1,1
Public Method,"jsr166e.CompletableFuture.thenRunAsync",1,1,1,1
Public Method,"jsr166e.CompletableFuture.thenRunAsync",1,2,2,2
Private Method,"jsr166e.CompletableFuture.timedAwaitDone",3,14,14,15
Public Method,"jsr166e.CompletableFuture.toString",1,4,4,5
Private Method,"jsr166e.CompletableFuture.waitingGet",10,13,13,15
Public Constructor,"jsr166e.CompletionException.CompletionException",1,1,1,1
Protected Constructor,"jsr166e.CompletionException.CompletionException",1,1,1,1
Protected Constructor,"jsr166e.CompletionException.CompletionException",1,1,1,1
Public Constructor,"jsr166e.CompletionException.CompletionException",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.Action.apply",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.BaseIterator.BaseIterator",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.BaseIterator.hasMoreElements",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.BaseIterator.hasNext",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.BaseIterator.remove",1,2,2,2
Abstract Method,"jsr166e.ConcurrentHashMapV8.BiAction.apply",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.BiFun.apply",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.BulkTask.BulkTask",1,3,3,3
Method,"jsr166e.ConcurrentHashMapV8.BulkTask.advance",6,9,9,13
Constructor,"jsr166e.ConcurrentHashMapV8.CollectionView.CollectionView",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.clear",1,1,1,1
Public Abstract Method,"jsr166e.ConcurrentHashMapV8.CollectionView.contains",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.containsAll",4,4,4,5
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.getMap",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.isEmpty",1,1,1,1
Public Abstract Method,"jsr166e.ConcurrentHashMapV8.CollectionView.iterator",1,1,1,1
Public Abstract Method,"jsr166e.ConcurrentHashMapV8.CollectionView.remove",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.removeAll",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.retainAll",1,3,3,3
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.size",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.toArray",1,7,7,7
Public Generic Method,"jsr166e.ConcurrentHashMapV8.CollectionView.toArray",1,9,9,10
Public Method,"jsr166e.ConcurrentHashMapV8.CollectionView.toString",4,5,5,5
Abstract Method,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapSpliterator.estimateSize",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapSpliterator.forEachRemaining",1,1,1,1
Abstract Method,"jsr166e.ConcurrentHashMapV8.ConcurrentHashMapSpliterator.tryAdvance",1,1,1,1
